frame_index,timestamp_s,velocity_px_per_analysis_frame
288,144.0,30.65054
289,144.5,33.93736
290,145.0,38.68135
291,145.5,50.17672
292,146.0,44.51466
293,146.5,96.23715
294,147.0,109.1953
295,147.5,76.82379
296,148.0,81.17676
297,148.5,76.0541
298,149.0,80.99023
299,149.5,84.00318
300,150.0,73.18335
301,150.5,65.48391
302,151.0,67.73521
303,151.5,56.59015
304,152.0,38.27092
305,152.5,62.64825
306,153.0,61.69003
307,153.5,69.38742
308,154.0,44.0944
309,154.5,52.01082
310,155.0,68.52805
311,155.5,64.77002
312,156.0,80.24231
313,156.5,83.0387
314,157.0,81.2831
315,157.5,57.83154
316,158.0,80.68741
317,158.5,60.48371
318,159.0,122.64824
319,159.5,94.54379
320,160.0,56.67539
321,160.5,65.98201
322,161.0,67.90348
323,161.5,67.54178
324,162.0,65.70483
325,162.5,79.12965
326,163.0,95.87254
327,163.5,88.11282
328,164.0,73.78063
329,164.5,40.35317
330,165.0,71.25674
331,165.5,82.33717
332,166.0,49.38684
333,166.5,72.55434
334,167.0,79.24374
335,167.5,87.15652
336,168.0,64.6131
337,168.5,79.29826
338,169.0,86.38768
339,169.5,74.77203
340,170.0,74.33788
341,170.5,73.64803
342,171.0,85.68526
343,171.5,59.58581
344,172.0,49.34399
345,172.5,70.02795
346,173.0,54.92253
347,173.5,74.01044
348,174.0,35.99392
349,174.5,56.12696
350,175.0,66.82926
351,175.5,53.17005
352,176.0,51.801
353,176.5,59.37656
354,177.0,54.18279
355,177.5,47.50053
356,178.0,48.17754
357,178.5,45.67353
358,179.0,51.29004
359,179.5,64.04809
360,180.0,51.05404
361,180.5,35.13046
362,181.0,30.5859
363,181.5,87.80566
364,182.0,80.38252
365,182.5,81.87377
366,183.0,62.16486
367,183.5,70.49464
368,184.0,72.81146
369,184.5,39.71229
370,185.0,45.43167
371,185.5,38.71788
372,186.0,53.84452
373,186.5,34.15564
374,187.0,39.66735
375,187.5,42.23968
376,188.0,47.46204
377,188.5,46.86385
378,189.0,36.50257
379,189.5,44.01275
380,190.0,50.19728
381,190.5,48.00403
382,191.0,50.24241
383,191.5,43.1901
384,192.0,42.60315
385,192.5,59.71623
386,193.0,24.65134
387,193.5,33.25177
388,194.0,43.21644
389,194.5,74.85193
390,195.0,73.14038
391,195.5,67.94341
392,196.0,68.22437
393,196.5,55.75962
394,197.0,57.2773
395,197.5,51.00434
396,198.0,49.0913
397,198.5,49.60936
398,199.0,27.76057
399,199.5,31.78401
400,200.0,82.60115
401,200.5,71.31344
402,201.0,61.64946
403,201.5,55.49198
404,202.0,35.97374
405,202.5,82.486
406,203.0,84.53714
407,203.5,66.98615
408,204.0,79.70943
409,204.5,67.79758
410,205.0,77.06396
411,205.5,72.18196
412,206.0,46.93843
413,206.5,78.82801
414,207.0,64.74696
415,207.5,70.70039
416,208.0,57.92517
417,208.5,81.82655
418,209.0,46.45818
419,209.5,41.30177
420,210.0,33.10814
421,210.5,81.1039
422,211.0,78.86075
423,211.5,66.12286
424,212.0,78.50896
425,212.5,81.85238
426,213.0,70.49905
427,213.5,66.9821
428,214.0,69.89626
429,214.5,59.82475
430,215.0,77.23602
431,215.5,70.95957
432,216.0,78.05274
433,216.5,68.93285
434,217.0,68.1179
435,217.5,67.31427
436,218.0,34.67193
437,218.5,44.79102
438,219.0,27.00554
439,219.5,72.4856
440,220.0,51.13696
441,220.5,45.36198
442,221.0,87.06616
443,221.5,79.52221
444,222.0,73.23824
445,222.5,71.33372
446,223.0,67.32412
447,223.5,69.7055
448,224.0,70.49321
449,224.5,65.66715
450,225.0,67.81929
451,225.5,73.3287
452,226.0,76.7619
453,226.5,84.68962
454,227.0,76.04
455,227.5,74.64791
456,228.0,71.81138
457,228.5,78.01518
458,229.0,72.94602
459,229.5,55.21602
460,230.0,45.98907
461,230.5,62.27128
462,231.0,58.20984
463,231.5,48.97523
464,232.0,65.11301
465,232.5,74.48455
466,233.0,72.05108
467,233.5,67.20307
468,234.0,70.16019
469,234.5,73.53049
470,235.0,33.1357
471,235.5,54.26597
472,236.0,41.37705
473,236.5,74.88036
474,237.0,94.45374
475,237.5,110.53378
476,238.0,62.19152
477,238.5,41.04298
478,239.0,85.62529
479,239.5,69.14909
480,240.0,73.61371
481,240.5,73.01814
482,241.0,77.34971
483,241.5,90.26543
484,242.0,89.89999
485,242.5,70.69535
486,243.0,72.87765
487,243.5,65.9803
488,244.0,86.49995
489,244.5,79.49747
490,245.0,88.94099
491,245.5,86.73604
492,246.0,71.38522
493,246.5,65.95863
494,247.0,79.31373
495,247.5,68.97951
496,248.0,72.25163
497,248.5,68.73931
498,249.0,77.29704
499,249.5,41.36776
500,250.0,71.23781
501,250.5,83.58061
502,251.0,52.78911
503,251.5,82.30867
504,252.0,77.98749
505,252.5,77.75922
506,253.0,80.70952
507,253.5,81.14856
508,254.0,37.22611
509,254.5,83.76115
510,255.0,73.06848
511,255.5,64.05618
512,256.0,34.86893
513,256.5,42.23527
514,257.0,68.51615
515,257.5,74.81566
516,258.0,85.25316
517,258.5,86.56625
518,259.0,50.83566
519,259.5,66.87878
520,260.0,76.04874
521,260.5,61.26451
522,261.0,72.31579
523,261.5,69.7828
524,262.0,72.90122
525,262.5,74.16219
526,263.0,70.25564
527,263.5,95.52394
528,264.0,79.57894
529,264.5,97.07173
530,265.0,81.67329
531,265.5,48.6095
532,266.0,66.22866
533,266.5,68.67069
534,267.0,69.59911
535,267.5,73.34786
536,268.0,84.69583
537,268.5,76.3629
538,269.0,63.42704
539,269.5,67.81033
540,270.0,74.28317
541,270.5,62.9789
542,271.0,74.45461
543,271.5,36.89058
544,272.0,73.8161
545,272.5,74.15572
546,273.0,84.9567
547,273.5,90.95569
548,274.0,81.15279
549,274.5,88.78627
550,275.0,75.74475
551,275.5,53.93902
552,276.0,67.43463
553,276.5,80.02336
554,277.0,69.03576
555,277.5,83.99617
556,278.0,44.62681
557,278.5,71.31669
558,279.0,70.40193
559,279.5,40.39374
560,280.0,30.2051
561,280.5,73.86794
562,281.0,70.32597
563,281.5,46.38834
564,282.0,73.29123
565,282.5,66.26208
566,283.0,72.98911
567,283.5,88.48672
568,284.0,73.68384
569,284.5,71.40956
570,285.0,57.18274
571,285.5,67.45998
572,286.0,67.67979
573,286.5,48.13
574,287.0,30.87705
575,287.5,89.36903
576,288.0,50.47077
577,288.5,76.62589
578,289.0,81.08611
579,289.5,82.57488
580,290.0,71.4599
581,290.5,31.03725
582,291.0,31.64693
583,291.5,65.60674
584,292.0,42.05325
585,292.5,78.30087
586,293.0,81.15038
587,293.5,70.18076
588,294.0,80.56412
589,294.5,97.6023
590,295.0,74.90257
591,295.5,70.38332
592,296.0,65.87838
593,296.5,65.90184
594,297.0,67.56749
595,297.5,71.90806
596,298.0,78.8333
597,298.5,68.15205
598,299.0,85.27844
599,299.5,74.33051
600,300.0,83.84513
601,300.5,69.21886
602,301.0,79.8825
603,301.5,47.17596
604,302.0,35.72328
605,302.5,76.75777
606,303.0,71.49654
607,303.5,27.66858
608,304.0,70.8531
609,304.5,76.30515
610,305.0,41.62361
611,305.5,75.72014
612,306.0,75.94993
613,306.5,29.73847
614,307.0,76.09994
615,307.5,79.1324
616,308.0,28.6476
617,308.5,71.7858
618,309.0,71.30991
619,309.5,83.32858
620,310.0,78.10799
621,310.5,91.27205
622,311.0,66.73062
623,311.5,74.45021
624,312.0,94.03312
625,312.5,91.46017
626,313.0,84.16531
627,313.5,75.32991
628,314.0,57.86464
629,314.5,47.28231
630,315.0,88.25414
631,315.5,101.62761
632,316.0,62.99815
633,316.5,33.64996
634,317.0,69.89547
635,317.5,72.63345
636,318.0,42.66029
637,318.5,31.26025
638,319.0,34.64139
639,319.5,32.83292
640,320.0,87.6973
641,320.5,79.90498
642,321.0,47.01113
643,321.5,45.59428
